GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1
 "51000","Virginia",5,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",408780.2,414261.0,419630.7,419770.6,425011.6,423598.1,422785.4,422489.0,424532.5,425335.5,428858.8,428919.7,426070.4,429017.7,429550.4,423647.1,421364.3,424928.2,426938.0,431500.5,432406.0,437406.9,440249.0,441796.0,438667.3,441345.7,442254.3,446775.1,444827.1,445245.0,446292.7,444118.2,448574.1,445713.6,446404.5,445807.8,442821.9,446393.0,448073.4,449874.3,451241.5,456166.7,458256.1,457655.7,455292.7,458340.1,460719.5,466387.6,464823.7,467113.4,468674.0,471890.4,475924.7,478048.9,479923.8,481442.5,484851.8,485923.1,491333.4,494565.5,488269.3,451258.2,481349.8,486921.5,494054.2
 "51000","Virginia",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",91.836,93.067,94.273,94.305,95.482,95.165,94.982,94.916,95.375,95.555,96.347,96.360,95.720,96.382,96.502,95.176,94.663,95.464,95.915,96.940,97.144,98.267,98.906,99.253,98.550,99.152,99.356,100.372,99.934,100.028,100.263,99.775,100.776,100.133,100.288,100.154,99.484,100.286,100.663,101.068,101.375,102.482,102.951,102.816,102.285,102.970,103.504,104.778,104.426,104.941,105.291,106.014,106.920,107.398,107.819,108.160,108.926,109.167,110.382,111.108,109.694,101.379,108.139,109.391,110.993
 "51000","Virginia",5,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",351558.7,358082.4,365491.2,368236.9,375995.3,377940.1,379945.2,382044.3,387694.7,390888.8,396189.3,396943.4,395237.6,399085.8,403485.4,403413.3,404013.3,407823.2,410387.9,415543.0,416498.5,422795.7,426164.9,428796.3,426647.1,430984.7,434770.3,439636.4,440636.4,444145.8,447889.7,447810.9,453991.5,452531.1,455226.2,458919.0,456364.9,462342.7,467325.4,472024.6,476071.8,483744.6,488818.5,489488.2,488164.6,493999.4,498051.3,506065.5,505925.4,509362.0,513285.9,518932.1,525661.5,531814.8,535895.8,540669.6,548014.2,552269.8,560807.5,566529.4,562718.0,519911.6,557986.3,566425.1,579860.4
 "53000","Washington",8,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",339148.1,342567.3,341892.8,348839.5,353512.2,354627.7,356901.8,362506.0,365258.3,376010.0,383049.2,388848.3,382416.5,384318.5,386790.4,375768.7,370605.5,371882.7,372056.1,376707.9,375790.7,381619.2,383656.0,384985.2,384852.5,386397.1,386542.8,394603.5,399272.4,400765.5,403399.3,399055.8,408639.2,408334.0,414457.6,414444.7,418184.6,422380.6,431760.7,433600.6,438944.7,445779.4,451097.4,450691.8,460538.6,459426.0,463427.6,472503.8,479487.9,484216.4,493151.9,500883.9,515142.6,521038.2,531547.8,530218.8,541236.1,544995.3,552265.1,556250.1,552600.5,513389.8,555011.6,557527.6,565702.4
 "53000","Washington",8,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",84.655,85.509,85.340,87.074,88.241,88.519,89.087,90.486,91.173,93.856,95.613,97.061,95.455,95.930,96.547,93.796,92.507,92.826,92.869,94.030,93.802,95.256,95.765,96.097,96.063,96.449,96.485,98.497,99.663,100.035,100.693,99.609,102.001,101.925,103.453,103.450,104.384,105.431,107.772,108.232,109.565,111.271,112.599,112.498,114.956,114.678,115.677,117.942,119.685,120.866,123.096,125.026,128.585,130.057,132.680,132.348,135.099,136.037,137.851,138.846,137.935,128.148,138.537,139.165,141.206
 "53000","Washington",8,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",289799.4,294263.7,295654.5,303717.2,310466.5,313951.7,318659.8,326177.4,332099.1,343730.6,352063.0,358071.9,352598.2,354912.7,359963.0,354912.5,351405.5,352472.3,352750.9,358193.1,357854.0,365191.3,368571.0,371582.2,373778.3,377233.3,380013.0,388160.9,395650.8,399997.0,404632.7,402212.5,413912.4,415243.2,423451.9,426077.7,430680.6,437457.4,449478.7,454103.3,461219.8,470199.1,477764.4,477627.8,487971.3,488523.5,493343.4,504699.9,514179.5,520848.6,532482.0,543319.8,560333.3,571311.0,584400.7,585621.8,600330.7,608171.1,618623.0,624861.4,625120.6,579694.9,632013.5,637990.7,651107.3
 "54000","West Virginia",5,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",65059.6,66067.4,65520.2,65696.8,66302.3,66551.5,66457.6,66644.1,66025.2,66380.2,66827.0,66816.8,66616.3,67538.0,68029.3,69041.5,68841.7,67682.1,66857.1,67204.8,66736.4,67971.0,69812.2,69376.7,68174.9,69685.7,69813.8,70634.2,69831.4,70102.7,69027.9,68380.5,70143.5,70091.3,70068.5,70181.7,68648.8,69712.4,70080.0,70441.8,70478.0,70457.9,70305.9,70089.1,70212.8,69252.7,68958.7,68681.6,70024.9,69454.1,69696.6,69797.3,70517.6,71524.8,72417.7,72974.6,72589.8,72543.8,72569.5,71658.7,70429.2,64508.8,68944.7,69528.9,70912.6
 "54000","West Virginia",5,SQGDP1,2,"...","Chain-type quantity indexes for real GDP","Quantity index",93.833,95.286,94.497,94.752,95.625,95.985,95.849,96.118,95.226,95.738,96.382,96.367,96.078,97.407,98.116,99.576,99.288,97.615,96.425,96.927,96.251,98.032,100.687,100.059,98.326,100.505,100.690,101.873,100.715,101.106,99.556,98.622,101.165,101.090,101.057,101.220,99.009,100.543,101.074,101.595,101.648,101.619,101.399,101.087,101.265,99.880,99.456,99.057,100.994,100.171,100.521,100.666,101.705,103.157,104.445,105.248,104.693,104.627,104.664,103.350,101.577,93.038,99.436,100.279,102.274
 "54000","West Virginia",5,SQGDP1,3,"...","Current-dollar GDP (millions of current dollars)","Millions of current dollars",51590.1,52859.3,53610.3,55111.1,55639.7,56478.1,56980.1,57214.0,57372.7,58462.8,59144.3,59535.6,59515.0,61927.4,63384.0,63150.2,63053.2,62584.8,62589.9,63902.2,63988.6,64570.5,66320.5,66339.2,66104.4,68664.5,69068.7,69949.8,69677.3,69841.3,69081.8,68742.1,70654.1,70810.7,71228.0,71301.4,70478.5,71970.8,72484.9,72142.5,70543.8,71512.9,70968.5,70238.3,69351.1,69858.1,70168.1,70647.6,72765.1,72188.5,72673.8,73784.9,75294.1,77104.7,78646.4,79484.8,78711.4,79185.1,79078.5,78480.5,76366.3,68000.8,74510.9,75958.7,79689.9
 "55000","Wisconsin",3,SQGDP1,1,"...","Real GDP (millions of chained 2012 dollars)  ","Millions of chained 2012 dollars",260063.7,261391.5,264582.7,262234.8,266022.1,266453.1,266895.1,267270.1,267296.5,267665.9,268717.6,268521.2,266069.1,267391.0,265284.3,259354.3,253706.9,255548.3,257881.4,261363.2,260694.5,263503.6,266742.2,269525.8,267507.1,269715.1,271676.6,273766.6,276125.6,275919.0,273450.0,272667.2,274973.8,274430.8,275728.1,277462.2,276837.7,282607.6,283833.0,284846.6,286468.5,288195.3,288743.0,289633.6,289914.9,290673.7,292811.9,291881.7,292210.5,292159.4,295710.5,296526.3,302501.8,302578.4,304502.5,305486.8,306995.8,307575.4,307709.2,309898.3,302876.0,274434.6,298690.5,300740.3,305164.4
